,대분류,중분류,소분류,그램당당류,1회제공량,용량단위,단위
175,베이커리,식사빵,스틱,0.267,90.0,g,개
176,베이커리,식사빵,식빵,0.076,130.0,g,개
177,베이커리,식사빵,토스트,0.088,120.0,g,개
178,베이커리,식사빵,포카챠,0.03,140.0,g,개
179,베이커리,케이크,고구마케이크,0.154,150.0,g,조각
180,베이커리,케이크,기타과일케이크,0.264,150.0,g,조각
181,베이커리,케이크,녹차케이크,0.18,180.0,g,조각
182,베이커리,케이크,당근케이크,0.184,150.0,g,조각
183,베이커리,케이크,딸기케이크,0.222,130.0,g,조각
184,베이커리,케이크,레드벨벳케이크,0.16,90.0,g,조각
185,베이커리,케이크,레몬케이크,0.262,140.0,g,조각
186,베이커리,케이크,롤케이크,0.265,110.0,g,조각
187,베이커리,케이크,밀크케이크,0.226,140.0,g,조각
188,베이커리,케이크,바움쿠헨,0.271,80.0,g,조각
189,베이커리,케이크,블루베리케이크,0.204,150.0,g,조각
190,베이커리,케이크,생크림케이크,0.209,280.0,g,조각
191,베이커리,케이크,쉬폰케이크,0.202,210.0,g,조각
192,베이커리,케이크,쌀케이크,0.213,90.0,g,조각
193,베이커리,케이크,오렌지케이크,0.263,230.0,g,조각
194,베이커리,케이크,초콜릿케이크,0.259,140.0,g,조각
195,베이커리,케이크,치즈케이크,0.207,130.0,g,조각
196,베이커리,케이크,크레이프케이크,0.143,190.0,g,조각
197,베이커리,케이크,파운드케이크,0.232,120.0,g,조각
198,아이스크림,빙과,감귤아이스크림,0.218,90.0,g,개
199,아이스크림,빙과,견과류아이스크림,0.177,120.0,g,개
200,아이스크림,빙과,고구마아이스크림,0.146,130.0,g,개
201,아이스크림,빙과,곡물아이스크림,0.179,130.0,g,개
202,아이스크림,빙과,기타과일아이스크림,0.185,110.0,g,개
203,아이스크림,빙과,기타아이스크림류,0.18,110.0,g,개
204,아이스크림,빙과,기타야채아이스크림,0.132,110.0,g,개
205,아이스크림,빙과,녹차아이스크림,0.167,100.0,g,개
206,아이스크림,빙과,딸기아이스크림,0.197,100.0,g,개
207,아이스크림,빙과,레몬아이스크림,0.195,120.0,g,개
208,아이스크림,빙과,망고아이스크림,0.214,130.0,g,개
209,아이스크림,빙과,멜론아이스크림,0.193,90.0,g,개
210,아이스크림,빙과,바닐라아이스크림,0.149,160.0,g,개
211,아이스크림,빙과,복숭아아이스크림,0.192,110.0,g,개
212,아이스크림,빙과,블루베리아이스크림,0.196,120.0,g,개
213,아이스크림,빙과,소다아이스크림,0.147,100.0,g,개
214,아이스크림,빙과,수박아이스크림,0.16,130.0,g,개
215,아이스크림,빙과,오렌지아이스크림,0.202,90.0,g,개
216,아이스크림,빙과,옥수수아이스크림,0.152,140.0,g,개
217,아이스크림,빙과,요거트아이스크림,0.175,120.0,g,개
218,아이스크림,빙과,우유아이스크림,0.157,120.0,g,개
219,아이스크림,빙과,인절미아이스크림,0.163,140.0,g,개
220,아이스크림,빙과,초콜릿아이스크림,0.178,110.0,g,개
221,아이스크림,빙과,치즈아이스크림,0.174,120.0,g,개
222,아이스크림,빙과,카라멜아이스크림,0.168,110.0,g,개
223,아이스크림,빙과,커피아이스크림,0.155,110.0,g,개
224,아이스크림,빙과,쿠앤크아이스크림,0.187,130.0,g,개
225,아이스크림,빙과,티라미수아이스크림,0.176,120.0,g,개
226,아이스크림,빙과,포도아이스크림,0.17,110.0,g,개
227,아이스크림,빙과,흑임자아이스크림,0.104,110.0,g,개
228,아이스크림,빙수,곡물빙수,0.121,410.0,g,그릇
229,아이스크림,빙수,기타과일빙수,0.138,610.0,g,그릇
230,아이스크림,빙수,녹차빙수,0.138,660.0,g,그릇
231,아이스크림,빙수,눈꽃빙수,0.148,620.0,g,그릇
232,아이스크림,빙수,딸기빙수,0.121,470.0,g,그릇
233,아이스크림,빙수,망고빙수,0.151,590.0,g,그릇
234,아이스크림,빙수,블루베리빙수,0.112,800.0,g,그릇
235,아이스크림,빙수,요거트빙수,0.141,550.0,g,그릇
236,아이스크림,빙수,우유빙수,0.167,490.0,g,그릇
237,아이스크림,빙수,초콜릿빙수,0.128,570.0,g,그릇
238,아이스크림,빙수,커피빙수,0.087,550.0,g,그릇
239,아이스크림,빙수,쿠앤크빙수,0.158,660.0,g,그릇
240,아이스크림,빙수,팥빙수,0.13,500.0,g,그릇
241,아이스크림,샤베트,고구마샤베트,0.191,80.0,g,개
242,아이스크림,샤베트,곡물샤베트,0.217,120.0,g,개
243,아이스크림,샤베트,기타과일샤베트,0.191,100.0,g,개
244,아이스크림,샤베트,기타샤베트류,0.17,110.0,g,개
245,아이스크림,샤베트,녹차샤베트,0.105,140.0,g,개
246,아이스크림,샤베트,딸기샤베트,0.151,100.0,g,개
247,아이스크림,샤베트,레몬샤베트,0.232,80.0,g,개
248,아이스크림,샤베트,망고샤베트,0.168,120.0,g,개
249,아이스크림,샤베트,바닐라샤베트,0.12,110.0,g,개
250,아이스크림,샤베트,블루베리샤베트,0.175,120.0,g,개
251,아이스크림,샤베트,오렌지샤베트,0.277,60.0,g,개
252,아이스크림,샤베트,요거트샤베트,0.183,120.0,g,개
253,아이스크림,샤베트,우유샤베트,0.138,210.0,g,개
254,아이스크림,샤베트,초콜릿샤베트,0.172,110.0,g,개
255,아이스크림,샤베트,카라멜샤베트,0.156,100.0,g,개
